a,a_over_Lambda,a_minus_half
26767685281,0.99987079,13382113081
26767697687,0.99987125,13382125487
26767822171,0.99987590,13382249971
26767829329,0.99987617,13382257129
26767830469,0.99987621,13382258269
26767838791,0.99987652,13382266591
26767843951,0.99987672,13382271751
26767846879,0.99987683,13382274679
26767854901,0.99987713,13382282701
26768292007,0.99989345,13382719807
26768304947,0.99989394,13382732747
26768316917,0.99989438,13382744717
26768327893,0.99989479,13382755693
26768336659,0.99989512,13382764459
26768394427,0.99989728,13382822227
26768394619,0.99989729,13382822419
26768400409,0.99989750,13382828209
26768439793,0.99989897,13382867593
26768582747,0.99990431,13383010547
26768585083,0.99990440,13383012883
26768592379,0.99990467,13383020179
26768601287,0.99990501,13383029087
26768606083,0.99990518,13383033883
26768606719,0.99990521,13383034519
26768617217,0.99990560,13383045017
26768617693,0.99990562,13383045493
26768622317,0.99990579,13383050117
26768692537,0.99990841,13383120337
26768719097,0.99990941,13383146897
26768829973,0.99991355,13383257773
26768903429,0.99991629,13383331229
26768907343,0.99991644,13383335143
26768979509,0.99991913,13383407309
26768996117,0.99991975,13383423917
26769005243,0.99992009,13383433043
26769013207,0.99992039,13383441007
26769017729,0.99992056,13383445529
26769018817,0.99992060,13383446617
26769143243,0.99992525,13383571043
26769150803,0.99992553,13383578603
26769161533,0.99992593,13383589333
26769165149,0.99992607,13383592949
26769187334,0.99992690,13383615134
26769190867,0.99992703,13383618667
26769192433,0.99992709,13383620233
26769202637,0.99992747,13383630437
26769203719,0.99992751,13383631519
26769204013,0.99992752,13383631813
26769205417,0.99992757,13383633217
26769206323,0.99992761,13383634123
26769207473,0.99992765,13383635273
26769207737,0.99992766,13383635537
26769257057,0.99992950,13383684857
26769326473,0.99993209,13383754273
26769348757,0.99993293,13383776557
26769349169,0.99993294,13383776969
26769399133,0.99993481,13383826933
26769405907,0.99993506,13383833707
26769408703,0.99993517,13383836503
26769411463,0.99993527,13383839263
26769415521,0.99993542,13383843321
26769448507,0.99993665,13383876307
26769478003,0.99993775,13383905803
26769491713,0.99993827,13383919513
26769498499,0.99993852,13383926299
26769504943,0.99993876,13383932743
26769507067,0.99993884,13383934867
26769510013,0.99993895,13383937813
26769548977,0.99994041,13383976777
26769549207,0.99994041,13383977007
26769552319,0.99994053,13383980119
26769552697,0.99994054,13383980497
26769554863,0.99994062,13383982663
26769558157,0.99994075,13383985957
26769558799,0.99994077,13383986599
26769567697,0.99994110,13383995497
26769571009,0.99994123,13383998809
26769572187,0.99994127,13383999987
26769576247,0.99994142,13384004047
26769577027,0.99994145,13384004827
26769579823,0.99994156,13384007623
26769585919,0.99994179,13384013719
26769587203,0.99994183,13384015003
26769587347,0.99994184,13384015147
26769596543,0.99994218,13384024343
26769597343,0.99994221,13384025143
26769597619,0.99994222,13384025419
26769599807,0.99994230,13384027607
26769600199,0.99994232,13384027999
26769600587,0.99994233,13384028387
